ID,WAR,G,OPS,wOBA,wRC+,WPA,BB/K,IsoP,IsoD,BABIP,Spd,pLI,Clutch,P/PA
KIA-8,-0.15,25,0.566,0.281,52.8,-0.44,0.5,0.027,0.08,0.27,0.8,-0.44,-0.43,3.41
µÎ»ê-52,0.12,25,0.628,0.303,71.5,-0.13,1.38,0.046,0.12,0.25,1.4,-0.13,-0.23,3.7
NC-41,0,1,0,0,0,0,0,0,0,0,0,0,0,0
KT-25,0.08,31,0.723,0.332,84.6,-0.11,0.28,0.193,0.074,0.297,4.9,-0.11,-0.1,3.62
LG-54,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SSG-27,0.53,33,0.857,0.384,120.5,0.87,0.77,0.265,0.113,0.229,1.7,0.87,0.46,4.06
Å°¿ò-3,0.87,37,0.662,0.318,80.5,-0.32,0.67,0.082,0.087,0.293,6.6,-0.32,0.24,4.25
Å°¿ò-22,-0.06,8,0.333,0.161,-25.2,0.02,0,0,0,0.25,1.9,0.02,0.02,4.83
KT-6,0.35,25,0.791,0.355,99.4,0.04,0.36,0.25,0.1,0.262,1.4,0.04,0.14,3.91
µÎ»ê-32,1.43,34,0.948,0.427,161.6,1.26,0.82,0.254,0.117,0.313,4.7,1.26,1.17,4.21
NC-16,-0.15,3,0.167,0.125,-50.7,-0.15,1,0,0.167,0,3.8,-0.15,-0.13,4.5
µÎ»ê-37,1.54,33,0.922,0.431,157.8,0.22,0.75,0.125,0.064,0.404,2.5,0.22,0.47,3.7
µÎ»ê-14,0.63,23,0.788,0.373,113.7,-0.15,1.13,0.076,0.105,0.329,6,-0.15,0.27,3.77
SSG-2,0.15,31,0.692,0.317,78.8,0.19,0.64,0.103,0.077,0.302,4.4,0.19,-0.04,3.6
LG-22,1.53,34,0.982,0.44,166.9,1.77,2,0.21,0.099,0.324,2.2,1.77,1.45,4.15
ÇÑÈ­-8,1.13,33,0.871,0.387,123.1,0.67,0.4,0.221,0.068,0.349,2.5,0.67,0.21,3.8
µÎ»ê-14,0.45,33,0.753,0.352,107.5,0,0.37,0.139,0.082,0.328,2.7,0,-0.09,4.09
µÎ»ê-14,1.14,24,1.142,0.494,187,0.54,0.71,0.378,0.087,0.321,1,0.54,0.8,3.9
ÇÑÈ­-9,-0.49,27,0.494,0.237,25.1,-0.43,0.25,0.032,0.053,0.288,2.7,-0.43,-0.57,3.64
LG-34,-0.21,6,0,0,-131.4,-0.26,0,0,0,0,0,-0.26,-0.22,4.38
»ï¼º-7,-0.15,35,0.564,0.288,58.8,-0.76,1.25,0.033,0.121,0.236,3.9,-0.76,-0.58,4.07
ÇÑÈ­-68,-0.25,26,0.545,0.26,39.4,-0.79,0.26,0.101,0.089,0.271,3.7,-0.79,-0.66,4.15
